,temp,atemp,humidity,windspeed
0,9.84,14.395,81,0.0
1,9.02,13.635,80,0.0
2,9.02,13.635,80,0.0
3,9.84,14.395,75,0.0
4,9.84,14.395,75,0.0
5,9.84,12.88,75,6.0032
6,9.02,13.635,80,0.0
7,8.2,12.88,86,0.0
8,9.84,14.395,75,0.0
9,13.12,17.425,76,0.0
10,15.58,19.695,76,16.9979
11,14.76,16.665,81,19.0012
12,17.22,21.21,77,19.0012
13,18.86,22.725,72,19.9995
14,18.86,22.725,72,19.0012
15,18.04,21.97,77,19.9995
16,17.22,21.21,82,19.9995
17,18.04,21.97,82,19.0012
18,17.22,21.21,88,16.9979
19,17.22,21.21,88,16.9979
20,16.4,20.455,87,16.9979
21,16.4,20.455,87,12.998
22,16.4,20.455,94,15.0013
23,18.86,22.725,88,19.9995
24,18.86,22.725,88,19.9995
25,18.04,21.97,94,16.9979
26,17.22,21.21,100,19.0012
27,18.86,22.725,94,12.998
28,18.86,22.725,94,12.998
29,17.22,21.21,77,19.9995
30,16.4,20.455,76,12.998
31,16.4,20.455,71,15.0013
32,15.58,19.695,76,15.0013
33,14.76,17.425,81,15.0013
34,14.76,16.665,71,16.9979
35,14.76,16.665,66,19.9995
36,14.76,17.425,66,8.9981
37,14.76,17.425,76,12.998
38,13.94,16.665,81,11.0014
39,13.94,16.665,71,11.0014
40,13.94,16.665,57,12.998
41,14.76,16.665,46,22.0028
42,13.12,14.395,42,30.0026
43,12.3,13.635,39,23.9994
44,10.66,11.365,44,22.0028
45,9.84,10.605,44,19.9995
46,9.02,11.365,47,11.0014
47,9.02,9.85,44,23.9994
48,8.2,8.335,44,27.9993
49,6.56,6.82,47,26.0027
50,6.56,6.82,47,19.0012
51,5.74,5.305,50,26.0027
52,5.74,6.82,50,12.998
53,5.74,6.06,50,19.0012
54,6.56,6.82,43,26.0027
55,7.38,8.335,43,16.9979
56,8.2,9.09,40,22.0028
57,9.02,10.605,35,19.9995
58,9.84,10.605,35,19.0012
59,10.66,12.12,30,19.0012
60,10.66,12.12,30,16.9979
61,10.66,12.12,30,16.9979
62,9.84,11.365,30,15.0013
63,9.84,12.88,32,7.0015
64,8.2,12.88,47,0.0
65,8.2,11.365,47,7.0015
66,7.38,9.85,64,8.9981
67,5.74,7.575,69,8.9981
68,7.38,10.605,55,7.0015
69,6.56,9.09,55,7.0015
70,6.56,9.09,59,7.0015
71,5.74,7.575,63,8.9981
72,5.74,9.09,63,6.0032
73,4.92,7.575,68,7.0015
74,4.92,7.575,74,7.0015
75,4.92,7.575,74,8.9981
76,5.74,7.575,69,11.0014
77,6.56,7.575,64,15.0013
78,6.56,6.82,69,22.0028
79,9.02,10.605,51,19.9995
80,9.02,11.365,51,11.0014
81,9.84,11.365,56,12.998
82,10.66,12.88,52,15.0013
83,11.48,13.635,52,16.9979
84,12.3,14.395,49,16.9979
85,11.48,13.635,48,15.0013
86,10.66,12.88,48,12.998
87,9.84,12.88,48,7.0015
88,9.84,12.88,48,7.0015
89,9.02,13.635,64,0.0
90,9.02,12.88,64,6.0032
91,8.2,11.365,69,6.0032
92,8.2,12.88,64,0.0
93,6.56,9.85,74,6.0032
94,6.56,9.85,74,6.0032
95,9.84,11.365,48,15.0013
96,9.02,11.365,47,11.0014
97,8.2,9.85,47,15.0013
98,7.38,9.09,43,12.998
99,8.2,9.09,40,19.9995
100,9.02,9.85,37,22.0028
101,9.02,9.85,37,22.0028
102,10.66,11.365,33,22.0028
103,10.66,11.365,33,22.0028
104,11.48,12.88,30,19.9995
105,12.3,14.395,28,12.998
106,12.3,14.395,28,12.998
107,12.3,15.91,28,6.0032
108,9.84,11.365,38,12.998
109,9.84,12.12,38,8.9981
110,9.84,12.88,38,7.0015
111,9.02,11.365,47,11.0014
112,8.2,9.85,51,12.998
113,7.38,9.85,55,8.9981
114,8.2,12.88,47,0.0
115,7.38,12.12,55,0.0
116,6.56,11.365,64,0.0
117,6.56,11.365,64,0.0
118,6.56,9.85,64,6.0032
119,5.74,9.09,69,6.0032
120,5.74,8.335,63,7.0015
121,6.56,11.365,59,0.0
122,6.56,11.365,59,0.0
123,7.38,12.12,51,0.0
124,8.2,12.88,47,0.0
125,9.02,12.88,44,6.0032
126,10.66,14.395,35,0.0
127,10.66,13.635,35,7.0015
128,11.48,13.635,36,11.0014
129,11.48,13.635,36,0.0
130,10.66,12.88,38,11.0014
131,9.02,11.365,51,11.0014
132,9.02,11.365,51,8.9981
133,9.02,12.88,55,6.0032
134,8.2,10.605,51,11.0014
135,9.02,10.605,55,15.0013
136,9.02,10.605,51,19.0012
137,8.2,9.85,59,12.998
138,8.2,9.85,64,12.998
139,8.2,9.85,69,15.0013
140,8.2,9.85,69,15.0013
141,8.2,10.605,69,8.9981
142,9.02,13.635,55,0.0
143,8.2,12.88,69,0.0
144,8.2,10.605,69,8.9981
145,8.2,9.85,51,16.9979
146,8.2,9.09,47,19.9995
147,9.02,9.85,37,22.0028
148,8.2,9.85,40,15.0013
149,8.2,9.85,37,16.9979
150,8.2,9.09,37,19.0012
151,8.2,9.85,40,16.9979
152,8.2,10.605,37,11.0014
153,8.2,10.605,37,11.0014
154,8.2,12.88,37,0.0
155,8.2,11.365,40,6.0032
156,6.56,9.85,55,6.0032
157,7.38,10.605,47,7.0015
158,7.38,9.85,47,8.9981
159,7.38,9.85,43,11.0014
160,7.38,9.85,51,11.0014
161,7.38,9.85,51,11.0014
162,7.38,10.605,55,6.0032
163,7.38,12.12,55,0.0
164,7.38,9.85,55,11.0014
165,7.38,9.85,55,11.0014
166,6.56,8.335,74,11.0014
167,6.56,8.335,74,11.0014
168,6.56,9.09,74,7.0015
169,6.56,9.09,93,7.0015
170,6.56,9.09,93,7.0015
171,7.38,9.85,80,11.0014
172,8.2,9.09,69,26.0027
173,8.2,9.09,59,23.9994
174,8.2,9.09,44,22.0028
175,8.2,8.335,32,32.9975
176,8.2,8.335,32,30.0026
177,7.38,6.82,29,30.0026
178,6.56,6.06,37,36.9974
179,5.74,6.06,39,19.9995
180,5.74,6.06,36,16.9979
181,4.92,6.06,36,16.9979
182,4.92,5.305,39,23.9994
183,4.92,5.305,36,26.0027
184,4.1,3.03,39,30.0026
185,4.1,3.79,42,26.0027
186,4.1,3.03,42,31.0009
187,4.1,3.03,46,31.0009
188,4.1,3.79,46,27.9993
189,3.28,4.545,53,12.998
190,3.28,4.545,53,12.998
191,4.1,4.545,49,19.0012
192,3.28,4.545,53,12.998
193,4.1,4.545,49,19.0012
194,4.92,3.79,46,35.0008
195,5.74,5.305,43,26.0027
196,6.56,6.06,40,35.0008
197,7.38,6.82,37,30.0026
198,8.2,8.335,34,30.0026
199,9.02,9.09,32,31.0009
200,9.02,9.85,35,23.9994
201,8.2,8.335,34,30.0026
202,7.38,7.575,37,26.0027
203,6.56,6.82,40,22.0028
204,6.56,6.82,43,22.0028
205,5.74,6.06,46,16.9979
206,5.74,5.305,46,27.9993
207,5.74,6.06,46,19.9995
208,4.92,6.82,50,12.998
209,4.92,6.06,50,19.0012
210,4.92,6.06,50,19.0012
211,4.92,6.06,50,15.0013
212,4.92,6.06,50,15.0013
213,4.1,6.06,54,8.9981
214,4.1,5.305,54,16.9979
215,4.92,6.06,50,19.0012
216,4.92,6.06,50,15.0013
217,4.92,6.06,50,19.0012
218,5.74,6.06,50,16.9979
219,5.74,6.06,50,19.9995
220,6.56,6.82,47,19.0012
221,8.2,9.09,40,19.0012
222,8.2,9.09,40,19.0012
223,8.2,9.85,40,15.0013
224,8.2,9.85,40,15.0013
225,8.2,10.605,40,8.9981
226,8.2,11.365,40,7.0015
227,8.2,9.85,40,15.0013
228,6.56,8.335,47,11.0014
229,6.56,8.335,50,11.0014
230,5.74,6.82,59,12.998
231,5.74,7.575,59,11.0014
232,5.74,7.575,59,11.0014
233,5.74,8.335,59,7.0015
234,5.74,7.575,59,11.0014
235,6.56,7.575,55,12.998
236,6.56,9.09,55,8.9981
237,6.56,9.09,55,8.9981
238,6.56,11.365,55,0.0
239,7.38,10.605,51,6.0032
240,7.38,9.85,51,11.0014
241,8.2,10.605,51,11.0014
242,8.2,10.605,47,8.9981
243,8.2,11.365,51,7.0015
244,8.2,11.365,59,6.0032
245,8.2,11.365,59,6.0032
246,6.56,9.85,80,6.0032
