,weather,count,registered,casual
0,1,16.0,13.0,3.0
1,1,40.0,32.0,8.0
2,1,32.0,27.0,5.0
3,1,13.0,10.0,3.0
4,1,1.0,1.0,0.0
5,2,1.0,1.0,0.0
6,1,2.0,0.0,2.0
7,1,3.0,2.0,1.0
8,1,8.0,7.0,1.0
9,1,14.0,6.0,8.0
10,1,36.0,24.0,12.0
11,1,56.0,30.0,26.0
12,1,84.0,55.0,29.0
13,2,94.0,47.0,47.0
14,2,106.0,71.0,35.0
15,2,110.0,70.0,40.0
16,2,93.0,52.0,41.0
17,2,67.0,52.0,15.0
18,3,35.0,26.0,9.0
19,3,37.0,31.0,6.0
20,2,36.0,25.0,11.0
21,2,34.0,31.0,3.0
22,2,28.0,17.0,11.0
23,2,39.0,24.0,15.0
24,2,17.0,13.0,4.0
25,2,17.0,16.0,1.0
26,2,9.0,8.0,1.0
27,2,6.0,4.0,2.0
28,2,3.0,1.0,2.0
29,3,2.0,2.0,0.0
30,2,1.0,1.0,0.0
31,3,8.0,8.0,0.0
32,2,20.0,19.0,1.0
33,2,53.0,46.0,7.0
34,2,70.0,54.0,16.0
35,2,93.0,73.0,20.0
36,2,75.0,64.0,11.0
37,3,59.0,55.0,4.0
38,3,74.0,55.0,19.0
39,3,76.0,67.0,9.0
40,1,65.0,58.0,7.0
41,2,53.0,43.0,10.0
42,1,30.0,29.0,1.0
43,1,22.0,17.0,5.0
44,1,31.0,20.0,11.0
45,1,9.0,9.0,0.0
46,1,8.0,8.0,0.0
47,1,5.0,5.0,0.0
48,1,2.0,2.0,0.0
49,1,1.0,1.0,0.0
50,1,3.0,3.0,0.0
51,1,30.0,30.0,0.0
52,1,64.0,63.0,1.0
53,1,154.0,153.0,1.0
54,1,88.0,81.0,7.0
55,1,44.0,33.0,11.0
56,1,51.0,41.0,10.0
57,1,61.0,48.0,13.0
58,1,61.0,53.0,8.0
59,1,77.0,66.0,11.0
60,1,72.0,58.0,14.0
61,1,76.0,67.0,9.0
62,1,157.0,146.0,11.0
63,1,157.0,148.0,9.0
64,1,110.0,102.0,8.0
65,1,52.0,49.0,3.0
66,1,52.0,49.0,3.0
67,1,20.0,20.0,0.0
68,1,12.0,11.0,1.0
69,1,5.0,5.0,0.0
70,1,2.0,2.0,0.0
71,1,1.0,1.0,0.0
72,1,2.0,2.0,0.0
73,1,4.0,4.0,0.0
74,1,36.0,36.0,0.0
75,1,94.0,92.0,2.0
76,1,179.0,177.0,2.0
77,1,100.0,98.0,2.0
78,2,42.0,37.0,5.0
79,1,57.0,50.0,7.0
80,1,78.0,66.0,12.0
81,1,97.0,79.0,18.0
82,1,63.0,54.0,9.0
83,1,65.0,48.0,17.0
84,1,83.0,68.0,15.0
85,1,212.0,202.0,10.0
86,1,182.0,179.0,3.0
87,1,112.0,110.0,2.0
88,1,54.0,53.0,1.0
89,1,48.0,48.0,0.0
90,1,35.0,34.0,1.0
91,1,11.0,9.0,2.0
92,1,6.0,6.0,0.0
93,1,6.0,6.0,0.0
94,1,2.0,2.0,0.0
95,1,2.0,2.0,0.0
96,1,3.0,3.0,0.0
97,1,33.0,33.0,0.0
98,1,88.0,87.0,1.0
99,1,195.0,192.0,3.0
100,1,115.0,109.0,6.0
101,1,57.0,53.0,4.0
102,1,46.0,34.0,12.0
103,1,79.0,74.0,5.0
104,1,71.0,65.0,6.0
105,1,62.0,52.0,10.0
106,1,62.0,55.0,7.0
107,1,89.0,85.0,4.0
108,1,190.0,186.0,4.0
109,1,169.0,166.0,3.0
110,1,132.0,127.0,5.0
111,1,89.0,82.0,7.0
112,1,43.0,40.0,3.0
113,1,42.0,41.0,1.0
114,1,19.0,18.0,1.0
115,1,11.0,11.0,0.0
116,1,4.0,4.0,0.0
117,1,2.0,2.0,0.0
118,2,1.0,1.0,0.0
119,2,4.0,4.0,0.0
120,2,36.0,36.0,0.0
121,2,95.0,95.0,0.0
122,1,219.0,216.0,3.0
123,2,122.0,116.0,6.0
124,1,45.0,42.0,3.0
125,1,59.0,57.0,2.0
126,1,84.0,78.0,6.0
127,1,67.0,55.0,12.0
128,1,70.0,59.0,11.0
129,1,62.0,54.0,8.0
130,1,86.0,74.0,12.0
