count,registered,casual,hour1,temp,humidity,year1,season,windspeed
16,13,3,0,9.84,81,2011,1,9.3258754
40,32,8,1,9.02,80,2011,1,9.103401335
32,27,5,2,9.02,80,2011,1,9.103401335
13,10,3,3,9.84,75,2011,1,9.219943835
1,1,0,4,9.84,75,2011,1,9.219943835
1,1,0,5,9.84,75,2011,1,6.0032
2,0,2,6,9.02,80,2011,1,9.103401335
3,2,1,7,8.2,86,2011,1,8.840891689
8,7,1,8,9.84,75,2011,1,9.219943835
14,6,8,9,13.12,76,2011,1,11.95480415
36,24,12,10,15.58,76,2011,1,16.9979
56,30,26,11,14.76,81,2011,1,19.0012
84,55,29,12,17.22,77,2011,1,19.0012
94,47,47,13,18.86,72,2011,1,19.9995
106,71,35,14,18.86,72,2011,1,19.0012
110,70,40,15,18.04,77,2011,1,19.9995
93,52,41,16,17.22,82,2011,1,19.9995
67,52,15,17,18.04,82,2011,1,19.0012
35,26,9,18,17.22,88,2011,1,16.9979
37,31,6,19,17.22,88,2011,1,16.9979
36,25,11,20,16.4,87,2011,1,16.9979
34,31,3,21,16.4,87,2011,1,12.998
28,17,11,22,16.4,94,2011,1,15.0013
39,24,15,23,18.86,88,2011,1,19.9995
17,13,4,0,18.86,88,2011,1,19.9995
17,16,1,1,18.04,94,2011,1,16.9979
9,8,1,2,17.22,100,2011,1,19.0012
6,4,2,3,18.86,94,2011,1,12.998
3,1,2,4,18.86,94,2011,1,12.998
2,2,0,6,17.22,77,2011,1,19.9995
1,1,0,7,16.4,76,2011,1,12.998
8,8,0,8,16.4,71,2011,1,15.0013
20,19,1,9,15.58,76,2011,1,15.0013
53,46,7,10,14.76,81,2011,1,15.0013
70,54,16,11,14.76,71,2011,1,16.9979
93,73,20,12,14.76,66,2011,1,19.9995
75,64,11,13,14.76,66,2011,1,8.9981
59,55,4,14,14.76,76,2011,1,12.998
74,55,19,15,13.94,81,2011,1,11.0014
76,67,9,16,13.94,71,2011,1,11.0014
65,58,7,17,13.94,57,2011,1,12.998
53,43,10,18,14.76,46,2011,1,22.0028
30,29,1,19,13.12,42,2011,1,30.0026
22,17,5,20,12.3,39,2011,1,23.9994
31,20,11,21,10.66,44,2011,1,22.0028
9,9,0,22,9.84,44,2011,1,19.9995
8,8,0,23,9.02,47,2011,1,11.0014
5,5,0,0,9.02,44,2011,1,23.9994
2,2,0,1,8.2,44,2011,1,27.9993
1,1,0,4,6.56,47,2011,1,26.0027
3,3,0,5,6.56,47,2011,1,19.0012
30,30,0,6,5.74,50,2011,1,26.0027
64,63,1,7,5.74,50,2011,1,12.998
154,153,1,8,5.74,50,2011,1,19.0012
88,81,7,9,6.56,43,2011,1,26.0027
44,33,11,10,7.38,43,2011,1,16.9979
51,41,10,11,8.2,40,2011,1,22.0028
61,48,13,12,9.02,35,2011,1,19.9995
61,53,8,13,9.84,35,2011,1,19.0012
77,66,11,14,10.66,30,2011,1,19.0012
72,58,14,15,10.66,30,2011,1,16.9979
76,67,9,16,10.66,30,2011,1,16.9979
157,146,11,17,9.84,30,2011,1,15.0013
157,148,9,18,9.84,32,2011,1,7.0015
110,102,8,19,8.2,47,2011,1,7.35927759
52,49,3,20,8.2,47,2011,1,7.0015
52,49,3,21,7.38,64,2011,1,8.9981
20,20,0,22,5.74,69,2011,1,8.9981
12,11,1,23,7.38,55,2011,1,7.0015
5,5,0,0,6.56,55,2011,1,7.0015
